subject_id	O14625	O43508	O95760	P01133	P01135	P01374	P01375	P01579	P01584	P02778	P03956	P04141	P05112	P05231	P09603	P09919	P10145	P10147	P13232	P13236	P13500	P13725	P14210	P15692	P22301	P35225	P39900	P40933	P48061	P49771	P50591	P51671	P60568	P78380	P80075	P80098	Q07325	Q14116	Q16552	Q8NEV9_Q14213	Q969D9	Q96PD4	Q99616	Q99731	Q9P0M4
97	23.29494	305.33979	0.26862	17.55637	6.10751	5.14144	56.4679	0.74859	3.55723	68.60521	129.52113	7.13058	1.00929	3.79391	129.3168	368.70536	2.17827	2.848	6.88159	31.06379	167.31497	1.55414	208.76524	193.01242	2.67566	6.82837	116.50978	8.23359	119.02613	82.31974	301.64901	65.08059		70.03681	48.47835	5.62187	41.57344	373.6149	2.25515	3.30246	9.8689	8.60554	29.66699	73.75562	14.63819
98	419.25363	334.45989		85.82247	4.22003	6.97055	12.86222	0.16977		52.63654	788.14616			0.57597	120.25234	71.19696	4.01056	4.57282	0.55951	64.05056	218.52622	1.83973	96.93466	155.24117	7.01013	1.58582	133.18533	7.38184	184.8372	84.81512	370.22008	189.14029		471.57676	38.96875	1.37947	39.42961	128.92558	0.28797	10.725			255.87417	91.28998	10.97552
99	630.56772	472.07004		138.26753	7.34772	10.99245	14.43974	0.35336		319.12873	459.41534			1.02364	123.5975	52.78439	13.40572	9.56002	2.27172	110.75633	265.31415	2.75351	138.2845	255.92327	6.57041		183.59373	8.39612	149.5824	81.26801	399.62887	279.58325		240.2857	37.38021	2.1317	54.17999	252.60829	0.29003	1.41566		2.1685	436.66377	123.61405	27.5982
100	397.70679	418.05091		90.59497	5.42456	9.84435	13.99348	0.12494		63.48613	583.00629			1.36825	128.893	60.23316	9.97865	3.93044	0.78265	44.98158	284.19745	1.39063	150.58491	182.54332	4.33672		365.07747	10.415	132.05858	96.41912	566.96335	355.50351		70.347	16.47963	1.46639	38.87148	285.75429	0.35465	2.44378			374.05353	133.7373	22.71852
101	14.29659	273.87734		18.49992	7.15081	8.18933	47.85058	0.81408	3.56625	56.58557	55.6419	6.6473	1.03965	2.61926	120.59116	402.82392	1.62248	3.62062	6.28777	38.25402	152.93481	1.86987	216.68988	167.82638	3.18538	8.17066	112.87778	6.62927	172.13114	67.54666	309.41274	60.29096		78.01863	20.2793	5.19359	33.108	313.1455	2.22973	6.51824	9.66995	6.93542	23.31429	66.8026	13.10355
102	449.43605	385.5974		70.86875	8.49955	10.91678	16.42253	0.22626	0.23545	105.91575	898.41449	0.30287		4.33906	151.37773	100.28644	8.829	6.27921	0.9676	67.11063	384.9427	3.92309	179.2074	321.90978	4.57653	0.71746	204.8494	12.72498	179.67112	109.53853	358.14244	271.14089		39.00135	24.94484	3.31456	53.15268	198.6274	0.32719	12.69257			731.02535	157.97393	12.51381
103	434.02597	421.36442		88.52068	12.96622	10.8584	18.00107	0.23778		76.89776	813.95877	0.32669		4.67922	147.14894	124.86785	19.0406	10.90864	0.76964	88.65791	345.53026	6.93902	232.76937	303.77442	4.37119	0.48586	271.1197	11.20536	168.32302	100.84229	361.55128	293.34717		158.43985	48.02586	2.86051	65.94965	177.02487	0.34743	9.29008			575.84218	147.07956	28.10544
104	955.14307	414.45049		70.80333	13.99479	14.57046	26.31807	2.36781		143.68776	431.72666			3.19476	123.81267	34.15427	71.45824	48.64219	4.31558	259.816	227.36396	9.16114	202.86697	196.52624	5.48796	82.49598	161.13634	17.26059	155.77283	90.04438	402.49708	260.74331		333.46752	50.17837	1.43902	87.65155	161.13762		7.72075			211.44947	109.01537	10.44692
105	602.52596	445.22789		198.15159	4.32773	8.43513	10.21286	0.1265		388.30202	465.65995			1.97971	107.93174	74.41865	4.69251	4.13555	10.57561	74.85644	268.35777	1.34032	106.76953	165.16185	10.14113		190.61522	9.59756	177.65672	71.59282	276.92908	287.21046		56.32836	33.59688	1.70997	72.69748	208.85915	0.15072	8.71555			569.92006	84.17159	8.81755
106																													158.37403					221.8988	25.12848					7.19693					
107	642.6366	425.18108		108.19976	4.88981	7.78884	10.43822	0.24498		80.057	742.22594			4.77161	113.95736	74.57725	5.84255	6.86851	0.56939	42.35579	200.54917	2.53144	141.60165	173.00606	4.1504	0.514	218.1171	9.55195	161.12152	63.00581	367.72844	328.23932		110.09415	26.52195	2.1547	78.81374	223.52229	0.35157	3.69818			471.72049	90.39161	13.13493
108	645.9789	446.70159		89.82404	5.21858	8.49763	15.35651	0.16447		432.63089	300.59204			1.33398	114.01648	43.47444	12.16637	10.93457	10.50972	89.81479	288.17828	3.29473	124.8049	178.30945	14.16276		233.35152	9.37287	242.41571	72.58559	338.09641	312.01972		190.77466	25.86226	1.58021	72.51618	198.50645	0.15126	9.83273			625.80668	108.80682	12.50976
109	634.7346	452.11264		132.07074	18.02388	17.23711	25.25724	0.32029	0.25158	89.37887	623.77296		0.09662	11.18515	142.64503	155.8793	61.20594	49.70118	0.71326	241.80102	261.25658	14.27198	250.07254	260.85343	13.99863	5.00812	284.74897	6.50409	110.36952	57.08328	480.26881	258.23056		95.39871	58.90376	2.46832	99.1834	458.11144	1.29174	11.62919		1.29866	273.48774	281.07243	12.01811
110	587.12989	549.38343		72.63937	4.05508	9.83007	12.72184	0.27917		80.00961	475.3157			1.19761	132.7237	52.91233	6.35457	9.22959	0.45827	40.33325	278.62605	0.81972	128.57925	170.7464	4.85189	1.29397	275.6151	11.22922	184.28371	83.4325	399.92657	417.92357		61.73314	43.79136	1.558	75.45838	248.77031	0.42836	5.76078		0.68665	617.16856	102.08011	14.11707
111	464.47394	464.54704		125.27258	3.71899	8.41866	9.52206	0.14938		91.65627	494.98901			0.57375	119.88824	51.18266	7.33234	4.92925	0.90708	71.20032	328.3682	1.28824	107.66088	219.07731	5.10433		231.51581	11.79174	195.09037	91.07865	409.06927	387.48604		52.96896	50.59327	1.55488	36.71089	221.65921	0.29499	12.82515			343.73221	55.31349	15.25939
112	19.34498	238.85009		15.1678	5.85248	4.57113	42.98625	0.55948	3.23471	59.19071	119.28131	5.4849	1.12399	2.62781	110.15701	356.10007	1.64751	2.40181	5.64878	26.78737	126.96306	1.33549	183.9975	155.55003	2.4992	7.66515	111.41611	8.32687	160.49846	67.89618	263.12071	52.64794		107.64036	45.17236	4.52483	37.56237	293.12742	1.73931	10.11391	8.29206	6.73419	26.30524	58.7817	12.78772
114	818.83221	393.31763		93.62747	5.14845	18.83008	17.70761	0.17876	0.62718	104.03751	418.20207			1.3214	136.58241	110.51567	10.56014	8.19705	0.6962	39.00486	265.03011	1.56045	119.29891	191.31412	4.59561		160.02533	9.93663	137.89466	101.89664	337.65221	236.09217		102.43865	55.6183	1.83511	48.59857	416.71566	0.53863	7.26171			660.07554	51.66048	26.257
115	333.17411	482.69336		338.98198	6.53459	7.81075	19.4066	0.19672	0.33626	104.96262	1075.12953			2.15617	110.15135	125.1414	6.64643	7.01612	1.82525	102.41522	362.7332	1.43989	149.78677	330.06382	9.11908		207.25932	11.41311	137.15093	66.56998	536.23631	401.92605		43.57923	44.88721	2.25708	114.21397	335.32334	0.58366	4.68894		0.49338	486.1958	97.92151	10.37881
116	306.13864	315.7109		297.75746	4.46423	7.3936	8.50952	0.11631	1.49787	42.69652	638.33647			1.46943	97.89339	92.28459	5.36237	3.79982	1.12222	46.81456	222.16161	0.31414	70.84678	197.26036	7.16342		195.87765	8.79344	176.65487	50.43693	311.73714	305.47185		97.1037	32.04279	1.67359	35.01381	478.05016	0.33777	13.27415		0.41955	301.79185	110.73048	13.40929
117	446.10383	420.40871		81.87871	2.92562	8.52084	12.25269	0.64225		64.9998	504.70582			1.60854	113.23697	44.77024	20.23209	25.14295	0.48785	66.42951	214.02515	0.94997	110.67749	124.46533	3.66583	0.54086	225.08674	7.49913	172.85206	69.142	318.41344	392.7068		63.26848	22.36974	1.19414	66.3904	183.42809	0.29563	4.75903		0.48756	489.98609	72.1033	12.48348
118	404.05163	470.88673		124.56986	5.93652	9.5655	16.00345	0.17345		65.53463	747.24364			1.4902	141.44504	66.32671	13.19432	7.83128	1.3066	59.73911	337.2079	1.25969	161.27359	220.60137	5.07658		410.14969	12.55089	200.65044	104.68212	514.05759	354.68551		124.11405	33.19249	1.86167	38.27299	322.80475	0.49392	5.27233			345.26326	119.44922	27.53652
